,0
0,Kenny Baker
1,David Huddleston
2,Julie Hagerty
3,Pat Walshe
4,Gwyneth Paltrow
5,Tom Wood
6,Edgar Bergen
7,Charles Durning
8,Billie Burke
9,Sean Astin
10,Cary Elwes
11,Anthony Daniels
12,Kristy Swanson
13,Robert Hays
14,Philip Moon
15,Seann William Scott
16,Jennifer Aniston
17,Jeroen Krabbé
18,Marc McClure
19,John Cassini
20,Andie MacDowell
21,Claudia Wells
22,Peter Stormare
23,Peter Graves
24,Helena Bonham Carter
25,Robin Duke
26,Mark Pellegrino
27,Brad Pitt
28,Peter Cook
29,Phil Brown
30,Christina Cabot
31,Morgan Woodward
32,Harrison Ford
33,Bert Lahr
34,Dave Goelz
35,Ian McKellen
36,Julian Arahanga
37,Jim Henson
38,Frank Oz
39,Steve Buscemi
40,Stephen Stucker
41,Jeffrey DeMunn
42,James Whitmore
43,Morgan Freeman
44,Christopher Guest
45,Clifton James
46,Andrew Kevin Walker
47,Milton Berle
48,George Maguire
49,Meat Loaf
50,Kareem Abdul-Jabbar
51,Bob Mack
52,Wendie Jo Sperber
53,Hal Sparks
54,Diedrich Bader
55,Philip Seymour Hoffman
56,Orlando Bloom
57,Peter Cushing
58,Brian Doyle-Murray
59,Charley Grapewin
60,Stephen Root
61,Frank Morgan
62,Christopher Lloyd
63,Reg E. Cathey
64,Michael J. Fox
65,Frances Lee McCain
66,Jerry Nelson
67,Marla Sokoloff
68,Chris Elliott
69,Clara Blandick
70,Leslie Nielsen
71,Stephen Tobolowsky
72,Daniel Zacapa
73,Jo Van Fleet
74,Mel Brooks
75,Bob Gunton
76,Lea Thompson
77,Ron Livingston
78,George DiCenzo
79,Robert Drivas
80,Peter Crombie
81,David Prowse
82,Robin Wright
83,David Andrews
84,Edward Norton
85,Bill Murray
86,Marita Geraghty
87,Paul Newman
88,Laurence Fishburne
89,Elijah Wood
90,Richmond Arquette
91,Fred Savage
92,Charlie O'Connell
93,Sean Bean
94,Ray Bolger
95,Eugenie Bondurant
96,Jack Haley
97,Belinda McClory
98,Alec Guinness
99,Tommy Lee Jones
100,Chris Sarandon
101,Margaret Hamilton
102,Joe Bays
103,Andy Serkis
104,Billy Boyd
105,Rick Overton
106,Otto
107,John Toles-Bey
108,Peter Mayhew
109,Christian Middelthon
110,Hugo Weaving
111,Clancy Brown
112,Lloyd Bridges
113,Crispin Glover
114,Jeff Bridges
115,J.D. Cannon
116,George Kennedy
117,Austin Pendleton
118,Gary Cole
119,Mandy Patinkin
120,Gil Bellows
121,L. Scott Caldwell
122,Lou Antonio
123,Noel Appleby
124,Mark Hamill
125,Angela Paton
126,Richard Riehle
127,Carrie Fisher
128,Alexandra Wentworth
129,Tara Reid
130,Robert Stack
131,Alan Howard
132,Sala Baker
133,Joe Pantoliano
134,Strother Martin
135,Mark Rolston
136,Keanu Reeves
137,David Herman
138,Tim Robbins
139,Larry Brandenburg
140,Marcus Chong
141,Daniel Roebuck
142,John Goodman
143,Zach Grenier
144,Julianne Moore
145,Tom Wilson
146,William Sadler
147,Rick Ducommun
148,Peter Falk
149,Jennifer Garner
150,Richard Hunt
151,Sela Ward
152,Matt Doran
153,Kevin Spacey
154,Carrie-Anne Moss
155,Gloria Foster
156,André René Roussimoff
157,Lorna Patterson
158,Ashton Kutcher
159,Wallace Shawn
160,Andreas Katsulas
161,Luke Askew
162,Ajay Naidu
163,Judy Garland
